STATION;Annee;EAQI_GLOBAL;POLLUANT;SIGLE POLLUANT;Mean-HourCalculation;Unit;EAQI_Index
PT06007;2004;FAIR;Particulate matter < 10 µm (aerosol);PM10;26,243;µg/m3;FAIR
ES0141A;1996;FAIR;Nitrogen dioxide (air);NO2;76,371;µg/m3;FAIR
PT02018;2009;FAIR;Nitrogen dioxide (air);NO2;8,569;µg/m3;GOOD
PT02018;2009;FAIR;Sulphur dioxide (air);SO2;3,435;µg/m3;GOOD
PT02018;2009;FAIR;Particulate matter < 10 µm (aerosol);PM10;20,838;µg/m3;FAIR
PT02018;2009;FAIR;Ozone (air);O3;52,953;µg/m3;FAIR
FR13011;2000;FAIR;Ozone (air);O3;52,877;µg/m3;FAIR
FR21017;2010;FAIR;Sulphur dioxide (air);SO2;0,908;µg/m3;GOOD
FR21017;2010;FAIR;Ozone (air);O3;52,148;µg/m3;FAIR
FR03021;2000;FAIR;Nitrogen dioxide (air);NO2;41,431;µg/m3;FAIR
FR08017;2007;FAIR;Ozone (air);O3;53,15;µg/m3;FAIR
FR02016;2003;FAIR;Nitrogen dioxide (air);NO2;27,269;µg/m3;GOOD
FR02016;2003;FAIR;Sulphur dioxide (air);SO2;8,076;µg/m3;GOOD
FR02016;2003;FAIR;Ozone (air);O3;57,804;µg/m3;FAIR
ES1785A;2011;FAIR;Sulphur dioxide (air);SO2;2,751;µg/m3;GOOD
ES1785A;2011;FAIR;Ozone (air);O3;74,953;µg/m3;FAIR
ES1825A;2007;FAIR;Nitrogen dioxide (air);NO2;6,615;µg/m3;GOOD
ES1825A;2007;FAIR;Particulate matter < 10 µm (aerosol);PM10;30,057;µg/m3;FAIR
ES1825A;2007;FAIR;Ozone (air);O3;52,382;µg/m3;FAIR
FR20062;2012;MODERATE;Nitrogen dioxide (air);NO2;29,91;µg/m3;GOOD
FR20062;2012;MODERATE;Sulphur dioxide (air);SO2;1,401;µg/m3;GOOD
FR20062;2012;MODERATE;Particulate matter < 2.5 µm (aerosol);PM2.5;20,156;µg/m3;MODERATE
FR20062;2012;MODERATE;Particulate matter < 10 µm (aerosol);PM10;23,458;µg/m3;FAIR
FR20062;2012;MODERATE;Ozone (air);O3;44,787;µg/m3;GOOD
ES1181A;1997;FAIR;Nitrogen dioxide (air);NO2;52,827;µg/m3;FAIR
ES1181A;1997;FAIR;Sulphur dioxide (air);SO2;10,631;µg/m3;GOOD
ES1181A;1997;FAIR;Ozone (air);O3;38,984;µg/m3;GOOD
FR29426;2005;GOOD;Nitrogen dioxide (air);NO2;32,327;µg/m3;GOOD
FR29426;2005;GOOD;Sulphur dioxide (air);SO2;2,481;µg/m3;GOOD
FR29426;2005;GOOD;Ozone (air);O3;44,474;µg/m3;GOOD
ES1860A;2012;FAIR;Ozone (air);O3;57,539;µg/m3;FAIR
FR26019;2008;GOOD;Nitrogen dioxide (air);NO2;17,888;µg/m3;GOOD
FR26019;2008;GOOD;Ozone (air);O3;40,664;µg/m3;GOOD
ES1656A;2010;FAIR;Nitrogen dioxide (air);NO2;23,184;µg/m3;GOOD
ES1656A;2010;FAIR;Sulphur dioxide (air);SO2;3,692;µg/m3;GOOD
ES1656A;2010;FAIR;Ozone (air);O3;70,004;µg/m3;FAIR
ES1760A;2010;FAIR;Nitrogen dioxide (air);NO2;7,368;µg/m3;GOOD
ES1760A;2010;FAIR;Sulphur dioxide (air);SO2;5,684;µg/m3;GOOD
ES1760A;2010;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;8,963;µg/m3;GOOD
ES1760A;2010;FAIR;Particulate matter < 10 µm (aerosol);PM10;22,587;µg/m3;FAIR
FR33201;2006;GOOD;Nitrogen dioxide (air);NO2;33,603;µg/m3;GOOD
FR33201;2006;GOOD;Ozone (air);O3;42,338;µg/m3;GOOD
ES0010R;1999;FAIR;Nitrogen dioxide (air);NO2;5,389;µg/m3;GOOD
ES0010R;1999;FAIR;Sulphur dioxide (air);SO2;1,084;µg/m3;GOOD
ES0010R;1999;FAIR;Ozone (air);O3;87,281;µg/m3;FAIR
FR04038;2007;FAIR;Nitrogen dioxide (air);NO2;14,422;µg/m3;GOOD
FR04038;2007;FAIR;Ozone (air);O3;52,628;µg/m3;FAIR
ES1798A;2009;FAIR;Particulate matter < 10 µm (aerosol);PM10;31,802;µg/m3;FAIR
FR27002;2000;GOOD;Nitrogen dioxide (air);NO2;36,158;µg/m3;GOOD
FR27002;2000;GOOD;Ozone (air);O3;33,737;µg/m3;GOOD
FR18026;2002;FAIR;Ozone (air);O3;53,054;µg/m3;FAIR
FR02020;2008;FAIR;Nitrogen dioxide (air);NO2;15,021;µg/m3;GOOD
FR02020;2008;FAIR;Sulphur dioxide (air);SO2;4,414;µg/m3;GOOD
FR02020;2008;FAIR;Ozone (air);O3;56,345;µg/m3;FAIR
PT01043;2007;FAIR;Nitrogen dioxide (air);NO2;29,096;µg/m3;GOOD
PT01043;2007;FAIR;Particulate matter < 10 µm (aerosol);PM10;36,385;µg/m3;FAIR
ES1438A;2004;FAIR;Nitrogen dioxide (air);NO2;59,677;µg/m3;FAIR
ES1438A;2004;FAIR;Sulphur dioxide (air);SO2;3,371;µg/m3;GOOD
ES1438A;2004;FAIR;Ozone (air);O3;33,18;µg/m3;GOOD
ES1133A;2001;FAIR;Nitrogen dioxide (air);NO2;16,685;µg/m3;GOOD
ES1133A;2001;FAIR;Sulphur dioxide (air);SO2;17,221;µg/m3;GOOD
ES1133A;2001;FAIR;Particulate matter < 10 µm (aerosol);PM10;36,708;µg/m3;FAIR
ES1133A;2001;FAIR;Ozone (air);O3;45,688;µg/m3;GOOD
ES1368A;2007;GOOD;Nitrogen dioxide (air);NO2;8,965;µg/m3;GOOD
ES1368A;2007;GOOD;Sulphur dioxide (air);SO2;9,163;µg/m3;GOOD
PT01018;2002;FAIR;Nitrogen dioxide (air);NO2;45,409;µg/m3;FAIR
PT01018;2002;FAIR;Sulphur dioxide (air);SO2;10,54;µg/m3;GOOD
PT01018;2002;FAIR;Ozone (air);O3;43,096;µg/m3;GOOD
ES1580A;2008;FAIR;Nitrogen dioxide (air);NO2;36,575;µg/m3;GOOD
ES1580A;2008;FAIR;Sulphur dioxide (air);SO2;6,005;µg/m3;GOOD
ES1580A;2008;FAIR;Particulate matter < 10 µm (aerosol);PM10;27,046;µg/m3;FAIR
FR11034;2002;FAIR;Nitrogen dioxide (air);NO2;45,514;µg/m3;FAIR
ES1805A;2006;GOOD;Ozone (air);O3;32,047;µg/m3;GOOD
FR10024;2007;GOOD;Nitrogen dioxide (air);NO2;34,163;µg/m3;GOOD
FR10024;2007;GOOD;Sulphur dioxide (air);SO2;6,204;µg/m3;GOOD
FR10007;2010;GOOD;Nitrogen dioxide (air);NO2;25,811;µg/m3;GOOD
FR10007;2010;GOOD;Sulphur dioxide (air);SO2;7,116;µg/m3;GOOD
FR10007;2010;GOOD;Ozone (air);O3;41,843;µg/m3;GOOD
ES1290A;2004;FAIR;Nitrogen dioxide (air);NO2;34,253;µg/m3;GOOD
ES1290A;2004;FAIR;Sulphur dioxide (air);SO2;23,018;µg/m3;GOOD
ES1290A;2004;FAIR;Particulate matter < 10 µm (aerosol);PM10;23,669;µg/m3;FAIR
FR18038;2008;GOOD;Ozone (air);O3;45,778;µg/m3;GOOD
FR18008;2004;GOOD;Nitrogen dioxide (air);NO2;19,125;µg/m3;GOOD
FR18008;2004;GOOD;Ozone (air);O3;46,613;µg/m3;GOOD
FR08017;2004;FAIR;Ozone (air);O3;52,278;µg/m3;FAIR
PT03082;2008;GOOD;Nitrogen dioxide (air);NO2;35,913;µg/m3;GOOD
PT03082;2008;GOOD;Sulphur dioxide (air);SO2;1,152;µg/m3;GOOD
PT03082;2008;GOOD;Ozone (air);O3;43,986;µg/m3;GOOD
ES1320A;2009;MODERATE;Nitrogen dioxide (air);NO2;22,395;µg/m3;GOOD
ES1320A;2009;MODERATE;Sulphur dioxide (air);SO2;21,427;µg/m3;GOOD
ES1320A;2009;MODERATE;Particulate matter < 10 µm (aerosol);PM10;45,306;µg/m3;MODERATE
ES1320A;2009;MODERATE;Ozone (air);O3;47,547;µg/m3;GOOD
FR03002;2005;FAIR;Nitrogen dioxide (air);NO2;47,324;µg/m3;FAIR
FR31019;1999;GOOD;Nitrogen dioxide (air);NO2;9,442;µg/m3;GOOD
FR25040;2009;FAIR;Sulphur dioxide (air);SO2;3,365;µg/m3;GOOD
FR25040;2009;FAIR;Ozone (air);O3;53,363;µg/m3;FAIR
PT03072;2000;FAIR;Nitrogen dioxide (air);NO2;38,8;µg/m3;GOOD
PT03072;2000;FAIR;Sulphur dioxide (air);SO2;6,085;µg/m3;GOOD
PT03072;2000;FAIR;Particulate matter < 10 µm (aerosol);PM10;36,513;µg/m3;FAIR
PT03072;2000;FAIR;Ozone (air);O3;25,005;µg/m3;GOOD
ES1287A;2012;FAIR;Nitrogen dioxide (air);NO2;10,687;µg/m3;GOOD
ES1287A;2012;FAIR;Sulphur dioxide (air);SO2;13,571;µg/m3;GOOD
ES1287A;2012;FAIR;Particulate matter < 10 µm (aerosol);PM10;25,819;µg/m3;FAIR
ES1287A;2012;FAIR;Ozone (air);O3;61,644;µg/m3;FAIR
ES1320A;2007;POOR;Nitrogen dioxide (air);NO2;19,382;µg/m3;GOOD
ES1320A;2007;POOR;Sulphur dioxide (air);SO2;17,466;µg/m3;GOOD
ES1320A;2007;POOR;Particulate matter < 10 µm (aerosol);PM10;60,986;µg/m3;POOR
ES1320A;2007;POOR;Ozone (air);O3;35,448;µg/m3;GOOD
FR09399;2011;FAIR;Nitrogen dioxide (air);NO2;41,422;µg/m3;FAIR
FR09399;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;26,327;µg/m3;FAIR
FR35006;2010;GOOD;Nitrogen dioxide (air);NO2;17,312;µg/m3;GOOD
FR35006;2010;GOOD;Ozone (air);O3;43,632;µg/m3;GOOD
FR30017;2001;FAIR;Nitrogen dioxide (air);NO2;22,409;µg/m3;GOOD
FR30017;2001;FAIR;Sulphur dioxide (air);SO2;1,573;µg/m3;GOOD
FR30017;2001;FAIR;Ozone (air);O3;50,221;µg/m3;FAIR
ES1131A;2011;FAIR;Nitrogen dioxide (air);NO2;15,327;µg/m3;GOOD
ES1131A;2011;FAIR;Sulphur dioxide (air);SO2;20,491;µg/m3;GOOD
ES1131A;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;19,971;µg/m3;GOOD
ES1131A;2011;FAIR;Ozone (air);O3;53,356;µg/m3;FAIR
FR05010;2000;GOOD;Ozone (air);O3;46,86;µg/m3;GOOD
ES0874A;2010;GOOD;Nitrogen dioxide (air);NO2;5,039;µg/m3;GOOD
ES0874A;2010;GOOD;Sulphur dioxide (air);SO2;5,895;µg/m3;GOOD
ES1397A;2009;GOOD;Nitrogen dioxide (air);NO2;20,737;µg/m3;GOOD
ES1397A;2009;GOOD;Sulphur dioxide (air);SO2;9,974;µg/m3;GOOD
ES1397A;2009;GOOD;Ozone (air);O3;44,679;µg/m3;GOOD
ES1424A;2011;FAIR;Nitrogen dioxide (air);NO2;27,72;µg/m3;GOOD
ES1424A;2011;FAIR;Sulphur dioxide (air);SO2;5,346;µg/m3;GOOD
ES1424A;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;27,496;µg/m3;FAIR
ES1424A;2011;FAIR;Ozone (air);O3;39,401;µg/m3;GOOD
ES0119A;2007;GOOD;Ozone (air);O3;24,163;µg/m3;GOOD
FR36010;2012;FAIR;Ozone (air);O3;64,838;µg/m3;FAIR
ES1120A;2007;GOOD;Nitrogen dioxide (air);NO2;26,879;µg/m3;GOOD
ES1120A;2007;GOOD;Sulphur dioxide (air);SO2;4,43;µg/m3;GOOD
ES1424A;2009;FAIR;Nitrogen dioxide (air);NO2;31,04;µg/m3;GOOD
ES1424A;2009;FAIR;Sulphur dioxide (air);SO2;7,5;µg/m3;GOOD
ES1424A;2009;FAIR;Particulate matter < 10 µm (aerosol);PM10;38,744;µg/m3;FAIR
ES1424A;2009;FAIR;Ozone (air);O3;50,806;µg/m3;FAIR
ES0823A;2009;GOOD;Nitrogen dioxide (air);NO2;20,27;µg/m3;GOOD
ES0823A;2009;GOOD;Sulphur dioxide (air);SO2;5,362;µg/m3;GOOD
ES1877A;2008;FAIR;Nitrogen dioxide (air);NO2;21,057;µg/m3;GOOD
ES1877A;2008;FAIR;Sulphur dioxide (air);SO2;7,826;µg/m3;GOOD
ES1877A;2008;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;17,68;µg/m3;FAIR
ES1877A;2008;FAIR;Particulate matter < 10 µm (aerosol);PM10;35,642;µg/m3;FAIR
FR20011;2001;FAIR;Nitrogen dioxide (air);NO2;62,04;µg/m3;FAIR
FR39004;2005;GOOD;Nitrogen dioxide (air);NO2;17,454;µg/m3;GOOD
ES1969A;2010;GOOD;Nitrogen dioxide (air);NO2;7,391;µg/m3;GOOD
ES1969A;2010;GOOD;Sulphur dioxide (air);SO2;3,543;µg/m3;GOOD
FR03019;2007;GOOD;Sulphur dioxide (air);SO2;11,091;µg/m3;GOOD
FR03019;2007;GOOD;Ozone (air);O3;48,275;µg/m3;GOOD
FR30017;2007;GOOD;Nitrogen dioxide (air);NO2;21,255;µg/m3;GOOD
FR30017;2007;GOOD;Sulphur dioxide (air);SO2;2,369;µg/m3;GOOD
FR30017;2007;GOOD;Ozone (air);O3;46,687;µg/m3;GOOD
FR21007;2001;FAIR;Nitrogen dioxide (air);NO2;41,301;µg/m3;FAIR
FR21007;2001;FAIR;Sulphur dioxide (air);SO2;4,451;µg/m3;GOOD
FR21007;2001;FAIR;Ozone (air);O3;29,558;µg/m3;GOOD
ES1312A;1999;GOOD;Nitrogen dioxide (air);NO2;24,025;µg/m3;GOOD
ES1312A;1999;GOOD;Sulphur dioxide (air);SO2;10,542;µg/m3;GOOD
FR01018;2012;GOOD;Nitrogen dioxide (air);NO2;16,736;µg/m3;GOOD
FR01018;2012;GOOD;Ozone (air);O3;45,688;µg/m3;GOOD
PT03082;2002;FAIR;Nitrogen dioxide (air);NO2;53,728;µg/m3;FAIR
PT03082;2002;FAIR;Sulphur dioxide (air);SO2;7,632;µg/m3;GOOD
PT03082;2002;FAIR;Ozone (air);O3;59,423;µg/m3;FAIR
ES1551A;2006;GOOD;Nitrogen dioxide (air);NO2;38,256;µg/m3;GOOD
ES1551A;2006;GOOD;Sulphur dioxide (air);SO2;2,92;µg/m3;GOOD
ES0358A;2005;FAIR;Nitrogen dioxide (air);NO2;24,334;µg/m3;GOOD
ES0358A;2005;FAIR;Sulphur dioxide (air);SO2;7,219;µg/m3;GOOD
ES0358A;2005;FAIR;Particulate matter < 10 µm (aerosol);PM10;37,219;µg/m3;FAIR
FR08713;2001;FAIR;Nitrogen dioxide (air);NO2;23,407;µg/m3;GOOD
FR08713;2001;FAIR;Ozone (air);O3;58,796;µg/m3;FAIR
ES1171A;2007;GOOD;Nitrogen dioxide (air);NO2;38,354;µg/m3;GOOD
ES1171A;2007;GOOD;Sulphur dioxide (air);SO2;6,126;µg/m3;GOOD
ES1171A;2007;GOOD;Ozone (air);O3;23,393;µg/m3;GOOD
FR30027;2005;GOOD;Sulphur dioxide (air);SO2;4,157;µg/m3;GOOD
FR17009;2004;GOOD;Nitrogen dioxide (air);NO2;21,431;µg/m3;GOOD
FR17009;2004;GOOD;Sulphur dioxide (air);SO2;2,476;µg/m3;GOOD
FR17009;2004;GOOD;Ozone (air);O3;45,902;µg/m3;GOOD
ES1814A;2009;FAIR;Nitrogen dioxide (air);NO2;55,771;µg/m3;FAIR
ES1814A;2009;FAIR;Sulphur dioxide (air);SO2;3,949;µg/m3;GOOD
ES1814A;2009;FAIR;Ozone (air);O3;32,151;µg/m3;GOOD
FR07009;2010;GOOD;Nitrogen dioxide (air);NO2;25,018;µg/m3;GOOD
FR07009;2010;GOOD;Ozone (air);O3;49,972;µg/m3;GOOD
FR05010;2003;FAIR;Sulphur dioxide (air);SO2;12,1;µg/m3;GOOD
FR05010;2003;FAIR;Ozone (air);O3;53,686;µg/m3;FAIR
ES1652A;2008;FAIR;Nitrogen dioxide (air);NO2;18,574;µg/m3;GOOD
ES1652A;2008;FAIR;Sulphur dioxide (air);SO2;5,927;µg/m3;GOOD
ES1652A;2008;FAIR;Particulate matter < 10 µm (aerosol);PM10;35,137;µg/m3;FAIR
FR04156;2008;GOOD;Nitrogen dioxide (air);NO2;33,484;µg/m3;GOOD
ES1671A;2011;FAIR;Nitrogen dioxide (air);NO2;3,614;µg/m3;GOOD
ES1671A;2011;FAIR;Sulphur dioxide (air);SO2;1,679;µg/m3;GOOD
ES1671A;2011;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;9,752;µg/m3;GOOD
ES1671A;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;14,314;µg/m3;GOOD
ES1671A;2011;FAIR;Ozone (air);O3;68,397;µg/m3;FAIR
ES0622A;2009;FAIR;Nitrogen dioxide (air);NO2;11,92;µg/m3;GOOD
ES0622A;2009;FAIR;Sulphur dioxide (air);SO2;6,39;µg/m3;GOOD
ES0622A;2009;FAIR;Ozone (air);O3;55,717;µg/m3;FAIR
FR30018;2010;GOOD;Nitrogen dioxide (air);NO2;20,941;µg/m3;GOOD
FR30018;2010;GOOD;Ozone (air);O3;45,162;µg/m3;GOOD
FR32001;2004;GOOD;Nitrogen dioxide (air);NO2;39,952;µg/m3;GOOD
FR32001;2004;GOOD;Sulphur dioxide (air);SO2;7,169;µg/m3;GOOD
FR32001;2004;GOOD;Ozone (air);O3;33,526;µg/m3;GOOD
FR23157;2008;FAIR;Ozone (air);O3;54,668;µg/m3;FAIR
FR13008;1999;GOOD;Nitrogen dioxide (air);NO2;21,27;µg/m3;GOOD
FR13008;1999;GOOD;Ozone (air);O3;45,305;µg/m3;GOOD
PT03010;2007;GOOD;Nitrogen dioxide (air);NO2;31,829;µg/m3;GOOD
PT03010;2007;GOOD;Sulphur dioxide (air);SO2;1,014;µg/m3;GOOD
ES1806A;2006;FAIR;Ozone (air);O3;61,364;µg/m3;FAIR
ES1910A;2012;FAIR;Nitrogen dioxide (air);NO2;14,827;µg/m3;GOOD
ES1910A;2012;FAIR;Sulphur dioxide (air);SO2;2,601;µg/m3;GOOD
ES1910A;2012;FAIR;Ozone (air);O3;59,617;µg/m3;FAIR
ES1769A;2005;GOOD;Nitrogen dioxide (air);NO2;15,992;µg/m3;GOOD
ES1769A;2005;GOOD;Sulphur dioxide (air);SO2;9,748;µg/m3;GOOD
FR13009;2012;FAIR;Nitrogen dioxide (air);NO2;28,426;µg/m3;GOOD
FR13009;2012;FAIR;Particulate matter < 10 µm (aerosol);PM10;26,419;µg/m3;FAIR
ES1126A;2003;GOOD;Nitrogen dioxide (air);NO2;33,732;µg/m3;GOOD
ES1126A;2003;GOOD;Sulphur dioxide (air);SO2;4,665;µg/m3;GOOD
ES1126A;2003;GOOD;Ozone (air);O3;29,601;µg/m3;GOOD
FR35005;2007;FAIR;Nitrogen dioxide (air);NO2;15,925;µg/m3;GOOD
FR35005;2007;FAIR;Ozone (air);O3;54,415;µg/m3;FAIR
FR02012;2010;FAIR;Nitrogen dioxide (air);NO2;16,372;µg/m3;GOOD
FR02012;2010;FAIR;Sulphur dioxide (air);SO2;3,392;µg/m3;GOOD
FR02012;2010;FAIR;Ozone (air);O3;58,055;µg/m3;FAIR
PT05006;2004;FAIR;Nitrogen dioxide (air);NO2;18,894;µg/m3;GOOD
PT05006;2004;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;15,298;µg/m3;FAIR
PT05006;2004;FAIR;Particulate matter < 10 µm (aerosol);PM10;34,977;µg/m3;FAIR
PT05006;2004;FAIR;Ozone (air);O3;56,503;µg/m3;FAIR
ES1139A;1997;FAIR;Nitrogen dioxide (air);NO2;72,202;µg/m3;FAIR
ES1139A;1997;FAIR;Sulphur dioxide (air);SO2;14,492;µg/m3;GOOD
ES1139A;1997;FAIR;Ozone (air);O3;10,265;µg/m3;GOOD
FR11027;2000;GOOD;Nitrogen dioxide (air);NO2;34,541;µg/m3;GOOD
FR11027;2000;GOOD;Ozone (air);O3;36,617;µg/m3;GOOD
ES0825A;2004;FAIR;Nitrogen dioxide (air);NO2;25,157;µg/m3;GOOD
ES0825A;2004;FAIR;Sulphur dioxide (air);SO2;18,157;µg/m3;GOOD
ES0825A;2004;FAIR;Particulate matter < 10 µm (aerosol);PM10;31,229;µg/m3;FAIR
ES0825A;2004;FAIR;Ozone (air);O3;30,02;µg/m3;GOOD
FR16038;2010;GOOD;Nitrogen dioxide (air);NO2;31,309;µg/m3;GOOD
FR16038;2010;GOOD;Sulphur dioxide (air);SO2;2,773;µg/m3;GOOD
FR16038;2010;GOOD;Ozone (air);O3;39,133;µg/m3;GOOD
ES0813A;2001;FAIR;Nitrogen dioxide (air);NO2;1,684;µg/m3;GOOD
ES0813A;2001;FAIR;Sulphur dioxide (air);SO2;14,739;µg/m3;GOOD
ES0813A;2001;FAIR;Ozone (air);O3;81,772;µg/m3;FAIR
FR1202A;2000;FAIR;Nitrogen dioxide (air);NO2;49,514;µg/m3;FAIR
ES1593A;2011;FAIR;Nitrogen dioxide (air);NO2;12,762;µg/m3;GOOD
ES1593A;2011;FAIR;Sulphur dioxide (air);SO2;9,376;µg/m3;GOOD
ES1593A;2011;FAIR;Ozone (air);O3;69,878;µg/m3;FAIR
FR04001;1999;FAIR;Nitrogen dioxide (air);NO2;46,149;µg/m3;FAIR
PT03071;2005;FAIR;Nitrogen dioxide (air);NO2;36,83;µg/m3;GOOD
PT03071;2005;FAIR;Sulphur dioxide (air);SO2;2,308;µg/m3;GOOD
PT03071;2005;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;15,354;µg/m3;FAIR
PT03071;2005;FAIR;Particulate matter < 10 µm (aerosol);PM10;29,95;µg/m3;FAIR
PT03071;2005;FAIR;Ozone (air);O3;47,229;µg/m3;GOOD
FR01019;2006;GOOD;Nitrogen dioxide (air);NO2;23,281;µg/m3;GOOD
FR01019;2006;GOOD;Sulphur dioxide (air);SO2;2,816;µg/m3;GOOD
FR01019;2006;GOOD;Ozone (air);O3;45,397;µg/m3;GOOD
FR02021;2012;FAIR;Sulphur dioxide (air);SO2;4,078;µg/m3;GOOD
FR02021;2012;FAIR;Ozone (air);O3;64,014;µg/m3;FAIR
FR04100;2007;GOOD;Nitrogen dioxide (air);NO2;34,825;µg/m3;GOOD
FR04100;2007;GOOD;Ozone (air);O3;37,616;µg/m3;GOOD
FR23124;2005;FAIR;Nitrogen dioxide (air);NO2;10,803;µg/m3;GOOD
FR23124;2005;FAIR;Ozone (air);O3;62,528;µg/m3;FAIR
FR11030;2005;GOOD;Nitrogen dioxide (air);NO2;23,749;µg/m3;GOOD
FR11030;2005;GOOD;Ozone (air);O3;44,01;µg/m3;GOOD
FR04069;2011;GOOD;Nitrogen dioxide (air);NO2;20,608;µg/m3;GOOD
FR04069;2011;GOOD;Ozone (air);O3;39,962;µg/m3;GOOD
ES1885A;2008;FAIR;Ozone (air);O3;53,88;µg/m3;FAIR
ES1292A;2004;GOOD;Ozone (air);O3;21,525;µg/m3;GOOD
ES1296A;1998;MODERATE;Nitrogen dioxide (air);NO2;39,27;µg/m3;GOOD
ES1296A;1998;MODERATE;Sulphur dioxide (air);SO2;14,505;µg/m3;GOOD
ES1296A;1998;MODERATE;Particulate matter < 10 µm (aerosol);PM10;42,013;µg/m3;MODERATE
ES1296A;1998;MODERATE;Ozone (air);O3;48,526;µg/m3;GOOD
FR21007;2005;GOOD;Nitrogen dioxide (air);NO2;34,353;µg/m3;GOOD
FR23113;2007;GOOD;Ozone (air);O3;27,458;µg/m3;GOOD
FR05037;2012;GOOD;Sulphur dioxide (air);SO2;7,206;µg/m3;GOOD
FR22011;2006;GOOD;Nitrogen dioxide (air);NO2;16,758;µg/m3;GOOD
FR22011;2006;GOOD;Sulphur dioxide (air);SO2;8,815;µg/m3;GOOD
ES1177A;2003;FAIR;Ozone (air);O3;52,391;µg/m3;FAIR
FR06133;2011;GOOD;Particulate matter < 10 µm (aerosol);PM10;15,686;µg/m3;GOOD
FR06133;2011;GOOD;Ozone (air);O3;38,564;µg/m3;GOOD
ES1216A;1999;FAIR;Ozone (air);O3;54,328;µg/m3;FAIR
FR38012;2007;GOOD;Nitrogen dioxide (air);NO2;10,714;µg/m3;GOOD
FR38012;2007;GOOD;Sulphur dioxide (air);SO2;0,978;µg/m3;GOOD
FR38012;2007;GOOD;Ozone (air);O3;41,624;µg/m3;GOOD
PT03072;1998;FAIR;Nitrogen dioxide (air);NO2;32,143;µg/m3;GOOD
PT03072;1998;FAIR;Sulphur dioxide (air);SO2;15,2;µg/m3;GOOD
PT03072;1998;FAIR;Particulate matter < 10 µm (aerosol);PM10;35,263;µg/m3;FAIR
PT03072;1998;FAIR;Ozone (air);O3;19,401;µg/m3;GOOD
ES1764A;2010;FAIR;Nitrogen dioxide (air);NO2;13,305;µg/m3;GOOD
ES1764A;2010;FAIR;Sulphur dioxide (air);SO2;24,113;µg/m3;GOOD
ES1764A;2010;FAIR;Particulate matter < 10 µm (aerosol);PM10;20,667;µg/m3;FAIR
FR26017;2005;FAIR;Nitrogen dioxide (air);NO2;21,956;µg/m3;GOOD
FR26017;2005;FAIR;Ozone (air);O3;55,843;µg/m3;FAIR
FR08017;2008;FAIR;Ozone (air);O3;57,537;µg/m3;FAIR
FR04024;2010;GOOD;Nitrogen dioxide (air);NO2;28,441;µg/m3;GOOD
ES0886A;2012;FAIR;Nitrogen dioxide (air);NO2;9,528;µg/m3;GOOD
ES0886A;2012;FAIR;Sulphur dioxide (air);SO2;12,492;µg/m3;GOOD
ES0886A;2012;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;3,309;µg/m3;GOOD
ES0886A;2012;FAIR;Particulate matter < 10 µm (aerosol);PM10;23,079;µg/m3;FAIR
ES0886A;2012;FAIR;Ozone (air);O3;65,364;µg/m3;FAIR
ES1811A;2012;FAIR;Nitrogen dioxide (air);NO2;12,439;µg/m3;GOOD
ES1811A;2012;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;13,229;µg/m3;FAIR
ES1811A;2012;FAIR;Particulate matter < 10 µm (aerosol);PM10;25,188;µg/m3;FAIR
ES1811A;2012;FAIR;Ozone (air);O3;66,907;µg/m3;FAIR
ES1480A;2001;FAIR;Nitrogen dioxide (air);NO2;63,889;µg/m3;FAIR
ES1480A;2001;FAIR;Ozone (air);O3;25,123;µg/m3;GOOD
ES1400A;1998;FAIR;Nitrogen dioxide (air);NO2;18,374;µg/m3;GOOD
ES1400A;1998;FAIR;Ozone (air);O3;86,475;µg/m3;FAIR
FR08023;2012;FAIR;Ozone (air);O3;70,659;µg/m3;FAIR
ES1032A;2002;GOOD;Ozone (air);O3;39,326;µg/m3;GOOD
FR19031;2006;FAIR;Nitrogen dioxide (air);NO2;16,738;µg/m3;GOOD
FR19031;2006;FAIR;Sulphur dioxide (air);SO2;0,59;µg/m3;GOOD
FR19031;2006;FAIR;Ozone (air);O3;52,824;µg/m3;FAIR
ES1488A;2006;FAIR;Nitrogen dioxide (air);NO2;3,218;µg/m3;GOOD
ES1488A;2006;FAIR;Sulphur dioxide (air);SO2;3,565;µg/m3;GOOD
ES1488A;2006;FAIR;Particulate matter < 10 µm (aerosol);PM10;14,13;µg/m3;GOOD
ES1488A;2006;FAIR;Ozone (air);O3;75,665;µg/m3;FAIR
FR33111;2006;FAIR;Nitrogen dioxide (air);NO2;19,115;µg/m3;GOOD
FR33111;2006;FAIR;Sulphur dioxide (air);SO2;14,669;µg/m3;GOOD
FR33111;2006;FAIR;Ozone (air);O3;51,58;µg/m3;FAIR
